rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
1812,10730034,K01305.02,Kepler-285 c,CONFIRMED,CANDIDATE,6.18666218,4.31E-05,-4.31E-05,0,,,1.11,3.60E-01,-8.00E-02,0.0634,,,89.38,,,847,,,5400,171,-138,0.801,0.257,-0.059,0.895,0.073,-0.094
1813,10858691,K01306.01,Kepler-286 b,CONFIRMED,CANDIDATE,1.796324389,5.87E-06,-5.87E-06,0,,,1.37,5.90E-01,-1.10E-01,0.0289,,,88.24,,,1476,,,5970,163,-182,0.908,0.39,-0.074,0.996,0.123,-0.123
1814,10858691,K01306.02,Kepler-286 c,CONFIRMED,CANDIDATE,3.46808239,1.54E-05,-1.54E-05,0,,,1.47,6.40E-01,-1.20E-01,0.0448,,,89.38,,,1186,,,5970,163,-182,0.908,0.39,-0.074,0.996,0.123,-0.123
1815,10858691,K01306.03,Kepler-286 d,CONFIRMED,CANDIDATE,5.91428767,3.41E-05,-3.41E-05,0,,,1.48,6.30E-01,-1.20E-01,0.064,,,88.81,,,992,,,5970,163,-182,0.908,0.39,-0.074,0.996,0.123,-0.123
1816,10858691,K01306.04,Kepler-286 e,CONFIRMED,CANDIDATE,29.2215101,2.23E-04,-2.23E-04,0,,,1.79,7.70E-01,-1.40E-01,0.1857,,,89.95,,,582,,,5970,163,-182,0.908,0.39,-0.074,0.996,0.123,-0.123
1817,10973814,K01307.01,Kepler-287 c,CONFIRMED,CANDIDATE,44.8521071,1.54E-04,-1.54E-04,0,,,3.5,1.32E+00,-4.40E-01,0.2428,,,88.81,,,522,,,5800,161,-161,1.012,0.38,-0.128,0.947,0.135,-0.091
1818,10973814,K01307.02,Kepler-287 b,CONFIRMED,CANDIDATE,20.34234237,5.94E-05,-5.94E-05,0,,,2.4,9.00E-01,-3.00E-01,0.1433,,,89.95,,,680,,,5800,161,-161,1.012,0.38,-0.128,0.947,0.135,-0.091
1819,10586208,K01308.01,,CANDIDATE,CANDIDATE,23.58447697,7.60E-05,-7.60E-05,0,,,2.07,8.50E-01,-1.80E-01,0.1612,,,88.81,,,635,,,5973,147,-174,0.937,0.384,-0.085,1.005,0.128,-0.125
1820,10854768,K01309.01,,CANDIDATE,CANDIDATE,10.11716531,2.53E-05,-2.53E-05,0,,,3.16,1.93E+00,-6.20E-01,0.1021,,,83.08,,,1228,,,7138,179,-311,1.554,0.945,-0.304,1.393,0.289,-0.282
1821,10964440,K01310.01,,CANDIDATE,CANDIDATE,19.12947337,7.46E-05,-7.46E-05,0,,,2.27,9.50E-01,-2.00E-01,0.1424,,,88.81,,,698,,,6061,148,-190,0.97,0.406,-0.087,1.05,0.177,-0.132
1822,10964440,K01310.02,,CANDIDATE,CANDIDATE,144.678395,4.20E-03,-4.20E-03,0,,,2.27,9.50E-01,-2.00E-01,0.5487,,,89.95,,,355,,,6061,148,-190,0.97,0.406,-0.087,1.05,0.177,-0.132
1823,10713616,K01311.01,,CANDIDATE,CANDIDATE,83.5783259,2.77E-04,-2.77E-04,0,,,3.78,2.15E+00,-9.00E-01,0.386,,,89.38,,,520,,,6190,158,-178,1.401,0.798,-0.331,1.094,0.3,-0.133
1824,10963242,K01312.01,,CANDIDATE,CANDIDATE,6.1469851,2.50E-05,-2.50E-05,0,,,1.78,8.30E-01,-1.50E-01,0.0676,,,85.37,,,1093,,,6341,159,-198,1.033,0.476,-0.087,1.083,0.221,-0.113
1827,10585852,K01314.01,,CANDIDATE,CANDIDATE,8.57503552,5.91E-05,-5.91E-05,0,,,4.43,1.30E-01,-1.30E-01,0.0905,,,89.95,,,1394,,,5048,75,-75,3.549,0.104,-0.104,1.345,0.102,-0.102
1828,10928043,K01315.01,,CANDIDATE,CANDIDATE,6.84638908,1.69E-05,-1.69E-05,0,,,1.32,2.80E-01,-7.00E-02,0.074,,,89.38,,,1001,,,6029,96,-141,1.049,0.221,-0.051,1.149,0.077,-0.1
1829,10794087,K01316.01,,CANDIDATE,CANDIDATE,7.64972303,4.72E-05,-4.72E-05,0,,,1.78,2.80E-01,-4.10E-01,0.0814,,,77.35,,,1258,,,5720,121,-100,2.024,0.319,-0.47,1.23,0.142,-0.168
1830,10794087,K01316.02,,CANDIDATE,CANDIDATE,12.37679312,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,4164994,K01320.01,,CANDIDATE,CANDIDATE,10.50682565,3.82E-06,-3.82E-06,0,,,9.41,1.89E+00,-6.40E-01,0.0893,,,89.95,,,669,,,5122,209,-160,0.784,0.157,-0.054,0.859,0.075,-0.08
1838,4076098,K01323.01,,CANDIDATE,CANDIDATE,3.990106229,1.36E-06,-1.36E-06,0,,,8.02,3.00E+00,-6.90E-01,0.0493,,,87.09,,,1125,,,5926,174,-210,0.913,0.341,-0.079,1.004,0.108,-0.126
1840,4282872,K01325.01,,CANDIDATE,CANDIDATE,10.03538581,6.59E-06,-6.59E-06,0,,,4.69,1.72E+00,-3.80E-01,0.0892,,,89.95,,,793,,,5835,156,-165,0.847,0.309,-0.069,0.935,0.092,-0.11
1841,4639868,K01326.01,,CANDIDATE,CANDIDATE,53.10094789,2.97E-06,-2.97E-06,0,,,15.99,4.21E+00,-1.34E+00,0.2516,,,89.38,,,407,,,5378,173,-141,0.74,0.195,-0.062,0.752,0.127,-0.059
1843,4074736,K01328.01,,CANDIDATE,CANDIDATE,80.9669568,1.28E-04,-1.28E-04,0,,,5.39,2.02E+00,-3.60E-01,0.3412,,,89.95,,,364,,,5610,187,-152,0.737,0.277,-0.049,0.807,0.101,-0.075
1844,4072526,K01329.01,,CANDIDATE,CANDIDATE,33.1995648,1.17E-04,-1.17E-04,0,,,2.56,6.90E-01,-1.90E-01,0.1899,,,89.95,,,468,,,5307,173,-143,0.76,0.206,-0.057,0.83,0.097,-0.088
1847,4274548,K01331.01,,CANDIDATE,CANDIDATE,6.80083977,2.16E-05,-2.16E-05,0,,,1.88,2.10E-01,-1.50E-01,0.0639,,,89.95,,,709,,,4812,185,-156,0.713,0.08,-0.057,0.751,0.072,-0.073
1848,4455231,K01332.01,Kepler-288 c,CONFIRMED,CANDIDATE,19.30577159,7.81E-05,-7.81E-05,0,,,3.03,1.07E+00,-4.80E-01,0.1375,,,89.95,,,728,,,5918,185,-193,1.068,0.378,-0.167,0.931,0.142,-0.093
1849,4455231,K01332.02,Kepler-288 b,CONFIRMED,CANDIDATE,6.09750607,4.94E-05,-4.94E-05,0,,,1.64,5.90E-01,-2.50E-01,0.0638,,,89.38,,,1068,,,5918,185,-193,1.068,0.378,-0.167,0.931,0.142,-0.093
1850,4455231,K01332.03,Kepler-288 d,CONFIRMED,CANDIDATE,56.6388791,8.03E-04,-8.03E-04,0,,,3.62,1.28E+00,-5.70E-01,0.2818,,,87.09,,,508,,,5918,185,-193,1.068,0.378,-0.167,0.931,0.142,-0.093
1854,4155328,K01335.01,,CANDIDATE,CANDIDATE,127.8338098,3.08E-04,-3.08E-04,0,,,7.57,3.32E+00,-2.61E+00,0.5102,,,89.95,,,498,,,6205,182,-205,1.689,0.741,-0.582,1.084,0.292,-0.168
1855,4077526,K01336.01,Kepler-58 b,CONFIRMED,CANDIDATE,10.21866016,5.10E-05,-5.10E-05,0,,,3.1,1.37E+00,-3.80E-01,0.0927,,,81.93,,,920,,,6100,165,-211,1.083,0.48,-0.134,1.017,0.198,-0.116
1856,4077526,K01336.02,Kepler-58 c,CONFIRMED,CANDIDATE,15.57363551,9.23E-05,-9.23E-05,0,,,2.93,1.29E+00,-3.70E-01,0.1228,,,85.37,,,799,,,6100,165,-211,1.083,0.48,-0.134,1.017,0.198,-0.116
1857,4077526,K01336.03,Kepler-58 d,CONFIRMED,CANDIDATE,40.1014272,3.15E-04,-3.15E-04,0,,,3.31,1.47E+00,-4.10E-01,0.2307,,,87.66,,,583,,,6100,165,-211,1.083,0.48,-0.134,1.017,0.198,-0.116
1858,4077526,K01336.04,,CANDIDATE,CANDIDATE,4.45815716,3.36E-05,-3.36E-05,0,,,1.58,7.10E-01,-1.90E-01,0.0533,,,87.09,,,1213,,,6100,165,-211,1.083,0.48,-0.134,1.017,0.198,-0.116
1859,4243911,K01337.01,,CANDIDATE,CANDIDATE,1.92279873,4.82E-06,-4.82E-06,0,,,1.25,2.50E-01,-1.00E-01,0.0282,,,88.81,,,1194,,,5155,172,-140,0.778,0.153,-0.063,0.808,0.101,-0.073
1860,4466677,K01338.01,,CANDIDATE,CANDIDATE,3.222969273,9.46E-06,-9.46E-06,0,,,1.52,5.70E-01,-1.90E-01,0.0412,,,89.95,,,1240,,,5823,164,-156,0.96,0.362,-0.12,0.899,0.125,-0.08
1861,4466677,K01338.02,,CANDIDATE,CANDIDATE,42.036634,3.94E-04,-3.94E-04,0,,,1.78,6.70E-01,-2.20E-01,0.2285,,,89.38,,,526,,,5823,164,-156,0.96,0.362,-0.12,0.899,0.125,-0.08
1862,4466677,K01338.03,,CANDIDATE,CANDIDATE,21.0111664,2.99E-04,-2.99E-04,0,,,1.24,4.70E-01,-1.50E-01,0.1439,,,89.38,,,663,,,5823,164,-156,0.96,0.362,-0.12,0.899,0.125,-0.08
1863,4135665,K01339.01,,CANDIDATE,CANDIDATE,4.16809082,1.75E-05,-1.75E-05,0,,,1.95,9.60E-01,-3.10E-01,0.0523,,,89.38,,,1204,,,5739,171,-199,1.183,0.582,-0.192,1.096,0.226,-0.141
1865,4650674,K01341.01,,CANDIDATE,CANDIDATE,4.51436633,1.40E-05,-1.40E-05,0,,,1.88,1.23E+00,-2.60E-01,0.0568,,,89.38,,,1266,,,6235,171,-253,1.204,0.786,-0.171,1.199,0.266,-0.191
1867,4275721,K01342.02,,CANDIDATE,CANDIDATE,8.1818246,2.27E-05,-2.27E-05,0,,,1.71,6.10E-01,-2.40E-01,0.0759,,,89.95,,,981,,,6224,175,-186,0.969,0.346,-0.134,0.868,0.115,-0.075
1869,4136466,K01344.01,,CANDIDATE,CANDIDATE,4.48758907,1.65E-05,-1.65E-05,0,,,0.89,4.10E-01,-7.00E-02,0.0512,,,89.95,,,1043,,,5977,157,-150,0.801,0.37,-0.056,0.887,0.098,-0.094
1873,7037540,K01347.02,,CANDIDATE,CANDIDATE,0.858303416,9.92E-06,-9.92E-06,0,,,1.052,3.81E-01,-3.81E-01,0.0178987,1.38E-07,-1.38E-07,77.3,4.21E+01,-4.21E+01,2274,579,-579,5945,208,-208,1.346,0.679,-0.679,,,
1877,6964043,K01351.01,,CANDIDATE,CANDIDATE,10.7240188,1.70E-05,-1.70E-05,0,,,53.17,2.25E+01,-6.58E+00,0.0896,,,84.22,,,783,,,5582,200,-159,0.905,0.383,-0.112,0.832,0.131,-0.065
1879,7303287,K01353.01,Kepler-289 c,CONFIRMED,CANDIDATE,125.8654339,5.98E-05,-5.98E-05,0,,,18.17,9.44E+00,-5.40E+00,0.5166,,,89.95,,,487,,,6279,171,-215,1.598,0.831,-0.475,1.158,0.312,-0.174
1880,7303287,K01353.02,Kepler-289 b,CONFIRMED,CANDIDATE,34.5438464,1.50E-04,-1.50E-04,0,,,3.41,1.77E+00,-1.01E+00,0.2182,,,89.95,,,750,,,6279,171,-215,1.598,0.831,-0.475,1.158,0.312,-0.174
1882,7211141,K01355.01,,CANDIDATE,CANDIDATE,51.92927591,9.29E-05,-9.29E-05,0,,,5.14,1.73E+00,-4.10E-01,0.2648,,,89.95,,,449,,,5735,159,-157,0.833,0.28,-0.067,0.915,0.092,-0.099
1883,7363829,K01356.01,,CANDIDATE,CANDIDATE,384.0257068,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,6719086,K01357.01,,CANDIDATE,CANDIDATE,3.014331377,5.69E-06,-5.69E-06,0,,,3.09,1.12E+00,-3.50E-01,0.0398,,,88.24,,,1124,,,5209,196,-160,0.953,0.345,-0.11,0.925,0.069,-0.064
1885,7376983,K01358.01,,CANDIDATE,CANDIDATE,5.644915227,8.26E-06,-8.26E-06,0,,,2.95,2.90E-01,-2.10E-01,0.0571,,,87.66,,,749,,,4750,190,-147,0.729,0.072,-0.052,0.778,0.06,-0.07
1886,7376983,K01358.02,,CANDIDATE,CANDIDATE,8.74287133,3.35E-05,-3.35E-05,0,,,1.99,2.00E-01,-1.40E-01,0.0764,,,89.38,,,647,,,4750,190,-147,0.729,0.072,-0.052,0.778,0.06,-0.07
1887,7376983,K01358.03,,CANDIDATE,CANDIDATE,3.64829642,1.70E-05,-1.70E-05,0,,,1.47,1.40E-01,-1.10E-01,0.0427,,,87.09,,,866,,,4750,190,-147,0.729,0.072,-0.052,0.778,0.06,-0.07
1888,7376983,K01358.04,,CANDIDATE,CANDIDATE,2.345858578,8.72E-06,-8.72E-06,0,,,1.27,1.20E-01,-9.00E-02,0.0318,,,89.95,,,1003,,,4750,190,-147,0.729,0.072,-0.052,0.778,0.06,-0.07
1889,6946199,K01359.01,,CANDIDATE,CANDIDATE,37.101107,1.21E-04,-1.21E-04,0,,,3.42,1.48E+00,-3.10E-01,0.2093,,,89.38,,,532,,,5986,189,-188,0.85,0.367,-0.078,0.886,0.111,-0.088
1890,6946199,K01359.02,,CANDIDATE,CANDIDATE,104.8206039,2.29E-04,-2.29E-04,0,,,6.64,2.87E+00,-6.10E-01,0.4183,,,89.38,,,376,,,5986,189,-188,0.85,0.367,-0.078,0.886,0.111,-0.088
1891,7102227,K01360.01,Kepler-290 c,CONFIRMED,CANDIDATE,36.7704731,1.27E-04,-1.27E-04,0,,,3.44,6.20E-01,-2.60E-01,0.2043,,,88.81,,,438,,,5153,170,-143,0.759,0.137,-0.057,0.848,0.073,-0.096
1892,7102227,K01360.02,Kepler-290 b,CONFIRMED,CANDIDATE,14.58932462,4.11E-05,-4.11E-05,0,,,2.18,3.90E-01,-1.60E-01,0.1103,,,89.95,,,596,,,5153,170,-143,0.759,0.137,-0.057,0.848,0.073,-0.096
1893,7102227,K01360.03,,CANDIDATE,CANDIDATE,0.764020072,3.54E-06,-3.54E-06,0,,,0.89,1.60E-01,-7.00E-02,0.0154,,,87.09,,,1596,,,5153,170,-143,0.759,0.137,-0.057,0.848,0.073,-0.096
1894,6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,59.877824,1.62E-04,-1.62E-04,0,,,2.17,9.00E-02,-1.40E-01,0.2523,,,89.95,,,272,,,4014,76,-80,0.596,0.026,-0.038,0.596,0.032,-0.031
1895,6837146,K01362.01,,CANDIDATE,CANDIDATE,20.5135449,8.65E-05,-8.65E-05,0,,,2.51,5.70E-01,-1.90E-01,0.1326,,,88.81,,,536,,,5305,216,-170,0.695,0.157,-0.052,0.739,0.117,-0.065
1896,6936909,K01363.01,Kepler-291 b,CONFIRMED,CANDIDATE,3.54653414,1.01E-05,-1.01E-05,0,,,2.17,8.60E-01,-2.00E-01,0.0469,,,89.38,,,1212,,,5993,167,-227,0.986,0.393,-0.089,1.093,0.189,-0.148
1897,6936909,K01363.02,Kepler-291 c,CONFIRMED,CANDIDATE,5.70071153,2.47E-05,-2.47E-05,0,,,1.93,7.70E-01,-1.70E-01,0.0644,,,89.95,,,1034,,,5993,167,-227,0.986,0.393,-0.089,1.093,0.189,-0.148
1898,6962977,K01364.01,Kepler-292 f,CONFIRMED,CANDIDATE,20.8342947,1.25E-04,-1.25E-04,0,,,2.94,1.13E+00,-2.80E-01,0.1442,,,88.81,,,613,,,5513,175,-151,0.915,0.351,-0.087,0.921,0.092,-0.072
1899,6962977,K01364.02,Kepler-292 d,CONFIRMED,CANDIDATE,7.0556671,2.27E-05,-2.27E-05,0,,,2.57,9.80E-01,-2.50E-01,0.0701,,,89.95,,,879,,,5513,175,-151,0.915,0.351,-0.087,0.921,0.092,-0.072
1900,6962977,K01364.03,Kepler-292 e,CONFIRMED,CANDIDATE,11.978822,5.72E-05,-5.72E-05,0,,,2.86,1.10E+00,-2.70E-01,0.0997,,,87.09,,,737,,,5513,175,-151,0.915,0.351,-0.087,0.921,0.092,-0.072
1901,6962977,K01364.04,Kepler-292 c,CONFIRMED,CANDIDATE,3.71545391,1.93E-05,-1.93E-05,0,,,1.79,6.90E-01,-1.70E-01,0.0457,,,88.81,,,1088,,,5513,175,-151,0.915,0.351,-0.087,0.921,0.092,-0.072
1902,6962977,K01364.05,Kepler-292 b,CONFIRMED,CANDIDATE,2.58082149,1.23E-05,-1.23E-05,0,,,1.65,6.30E-01,-1.60E-01,0.0358,,,86.52,,,1229,,,5513,175,-151,0.915,0.351,-0.087,0.921,0.092,-0.072
1904,6932987,K01366.01,Kepler-293 b,CONFIRMED,CANDIDATE,19.25405306,5.23E-05,-5.23E-05,0,,,3,1.18E+00,-2.50E-01,0.1424,,,89.95,,,657,,,5798,167,-196,0.941,0.372,-0.077,1.038,0.143,-0.12
1905,6932987,K01366.02,Kepler-293 c,CONFIRMED,CANDIDATE,54.1561078,2.78E-04,-2.78E-04,0,,,3.81,1.51E+00,-3.10E-01,0.2838,,,88.81,,,466,,,5798,167,-196,0.941,0.372,-0.077,1.038,0.143,-0.12
1906,6934291,K01367.01,,CANDIDATE,CANDIDATE,0.567857136,4.44E-07,-4.44E-07,0,,,1.4,2.30E-01,-1.00E-01,0.0124,,,83.65,,,1714,,,5076,161,-131,0.727,0.121,-0.054,0.794,0.088,-0.084
1908,7287415,K01369.01,,CANDIDATE,CANDIDATE,3.01618319,1.02E-05,-1.02E-05,0,,,1.67,7.30E-01,-1.60E-01,0.0417,,,87.09,,,1305,,,6043,155,-197,0.999,0.434,-0.095,1.062,0.198,-0.135
1909,6924203,K01370.01,,CANDIDATE,CANDIDATE,6.88337562,1.96E-05,-1.96E-05,0,,,1.76,7.50E-01,-1.30E-01,0.0679,,,89.38,,,863,,,5693,156,-146,0.802,0.34,-0.061,0.88,0.098,-0.087
1914,6766634,K01375.01,,CANDIDATE,CANDIDATE,321.2125073,3.91E-04,-3.91E-04,0,,,5.06,2.04E+00,-5.70E-01,0.8767,,,89.95,,,268,,,5982,193,-183,0.901,0.363,-0.102,0.869,0.122,-0.075
1916,7211469,K01377.01,,CANDIDATE,CANDIDATE,11.29695137,6.30E-05,-6.30E-05,0,,,1.57,5.90E-01,-1.90E-01,0.0968,,,87.09,,,884,,,6241,177,-207,0.998,0.373,-0.122,0.947,0.119,-0.106
1917,7375795,K01378.01,,CANDIDATE,CANDIDATE,19.30096321,8.69E-05,-8.69E-05,0,,,3.59,1.49E+00,-1.78E+00,0.1533,,,89.95,,,1006,,,5754,198,-173,2.407,0.994,-1.193,1.287,0.239,-0.355
1919,7211221,K01379.01,,CANDIDATE,CANDIDATE,5.62153941,1.27E-05,-1.27E-05,0,,,1.19,2.30E-01,-1.00E-01,0.0585,,,89.95,,,980,,,5628,115,-95,0.911,0.18,-0.076,0.846,0.068,-0.042
1925,9278553,K01385.01,,CANDIDATE,CANDIDATE,18.61009205,2.24E-06,-2.24E-06,0,,,59.98,2.13E+01,-4.91E+00,0.1362,,,87.09,,,686,,,6077,161,-184,0.891,0.316,-0.073,0.974,0.092,-0.121
1927,8949247,K01387.01,,CANDIDATE,CANDIDATE,23.7999414,1.77E-06,-1.77E-06,0,,,79.93,3.24E+01,-7.85E+00,0.1616,,,87.66,,,637,,,5934,156,-176,0.957,0.388,-0.094,0.991,0.132,-0.116
1931,8958035,K01391.01,,CANDIDATE,CANDIDATE,7.981186943,8.96E-07,-8.96E-07,0,,,1755.01,7.58E+02,-1.60E+02,0.0797,,,72.77,,,966,,,6217,160,-195,0.989,0.427,-0.09,1.056,0.193,-0.129
1933,9202151,K01393.01,,CANDIDATE,CANDIDATE,1.694740676,1.32E-06,-1.32E-06,0,,,2.55,3.60E-01,-2.30E-01,0.0231,,,80.79,,,843,,,3872,101,-50,0.563,0.08,-0.05,0.569,0.06,-0.05
1935,8935810,K01395.01,,CANDIDATE,CANDIDATE,6.230330323,9.58E-06,-9.58E-06,0,,,4.11,1.24E+00,-2.80E-01,0.066,,,89.38,,,875,,,5477,163,-163,0.865,0.262,-0.059,0.983,0.051,-0.1
1936,9455556,K01396.01,Kepler-294 c,CONFIRMED,CANDIDATE,6.62643626,1.62E-05,-1.62E-05,0,,,2.8,1.16E+00,-2.40E-01,0.0698,,,88.81,,,957,,,5910,171,-201,0.94,0.39,-0.081,1.032,0.148,-0.126
1937,9455556,K01396.02,Kepler-294 b,CONFIRMED,CANDIDATE,3.70120482,1.35E-05,-1.35E-05,0,,,1.79,7.40E-01,-1.60E-01,0.0473,,,89.38,,,1162,,,5910,171,-201,0.94,0.39,-0.081,1.032,0.148,-0.126
1938,9427402,K01397.01,,CANDIDATE,CANDIDATE,6.247032753,8.97E-06,-8.97E-06,0,,,2.32,2.10E-01,-2.20E-01,0.0544,,,88.81,,,551,,,3957,65,-73,0.542,0.05,-0.05,0.549,0.05,-0.05
1939,9269281,K01398.01,,CANDIDATE,CANDIDATE,5.82349237,1.49E-05,-1.49E-05,0,,,2.71,1.18E+00,-2.40E-01,0.0615,,,89.38,,,955,,,5774,186,-175,0.864,0.376,-0.076,0.916,0.111,-0.091
1940,9100484,K01399.01,,CANDIDATE,CANDIDATE,8.75061175,2.94E-05,-2.94E-05,0,,,2.64,3.40E-01,-1.30E-01,0.0798,,,87.66,,,681,,,4939,205,-153,0.78,0.1,-0.039,0.884,0.066,-0.085
1943,9034103,K01402.01,,CANDIDATE,CANDIDATE,7.1396941,2.82E-05,-2.82E-05,0,,,2.33,8.00E-01,-2.30E-01,0.075,,,89.95,,,965,,,6014,161,-220,0.993,0.343,-0.095,1.101,0.171,-0.157
1944,9214942,K01403.01,,CANDIDATE,CANDIDATE,18.7546998,5.14E-05,-5.14E-05,0,,,1.75,2.60E-01,-2.60E-01,0.1139,,,89.95,,,382,,,3977,105,-184,0.54,0.08,-0.08,0.56,0.08,-0.08
1945,8874090,K01404.01,,CANDIDATE,CANDIDATE,13.32388301,5.21E-05,-5.21E-05,0,,,1.35,2.80E-01,-2.70E-01,0.0862,,,89.38,,,378,,,3750,315,-105,0.45,0.09,-0.09,0.48,0.1,-0.1
1946,8874090,K01404.02,,CANDIDATE,CANDIDATE,18.9062244,2.39E-04,-2.39E-04,0,,,0.94,1.90E-01,-1.90E-01,0.1088,,,89.38,,,336,,,3750,315,-105,0.45,0.09,-0.09,0.48,0.1,-0.1
1947,9264949,K01405.01,,CANDIDATE,CANDIDATE,11.41909375,7.12E-05,-7.12E-05,0,,,2.91,1.76E+00,-3.40E-01,0.107,,,88.81,,,918,,,6299,151,-248,1.167,0.709,-0.137,1.249,0.234,-0.216
1948,9271752,K01406.01,,CANDIDATE,CANDIDATE,11.36112327,2.36E-05,-2.36E-05,0,,,2.68,1.23E+00,-2.40E-01,0.1016,,,87.09,,,871,,,6244,157,-200,1.017,0.466,-0.094,1.079,0.221,-0.135
1950,9150827,K01408.01,,CANDIDATE,CANDIDATE,14.53410194,4.92E-05,-4.92E-05,0,,,1.38,1.70E-01,-1.70E-01,0.0978,,,88.81,,,428,,,4023,82,-113,0.57,0.07,-0.07,0.59,0.07,-0.07
1952,9391208,K01409.01,,CANDIDATE,CANDIDATE,16.56059504,4.29E-05,-4.29E-05,0,,,2.71,1.57E+00,-4.10E-01,0.1144,,,88.24,,,702,,,5818,193,-152,0.855,0.494,-0.128,0.727,0.118,-0.033
1953,9391506,K01410.01,,CANDIDATE,CANDIDATE,15.74957994,4.69E-05,-4.69E-05,0,,,2.85,1.25E+00,-2.60E-01,0.1266,,,88.24,,,774,,,6178,155,-196,1.021,0.447,-0.093,1.088,0.219,-0.136
1954,9425139,K01411.01,,CANDIDATE,CANDIDATE,305.0763426,3.43E-04,-3.43E-04,0,,,7.61,1.88E+00,-6.70E-01,0.9133,,,89.95,,,279,,,5721,107,-130,1.12,0.276,-0.099,1.09,0.06,-0.081
1955,8950853,K01412.01,,CANDIDATE,CANDIDATE,37.8144514,1.55E-04,-1.55E-04,0,,,2.29,1.36E+00,-2.70E-01,0.2281,,,89.95,,,614,,,6228,153,-194,1.138,0.678,-0.134,1.102,0.276,-0.125
1956,9006449,K01413.01,Kepler-295 b,CONFIRMED,CANDIDATE,12.6450451,1.04E-04,-1.04E-04,0,,,1.45,6.30E-01,-1.90E-01,0.0987,,,81.36,,,741,,,5607,166,-138,0.886,0.39,-0.112,0.8,0.135,-0.058
1957,9006449,K01413.02,Kepler-295 c,CONFIRMED,CANDIDATE,21.5262569,1.88E-04,-1.88E-04,0,,,1.2,5.30E-01,-1.50E-01,0.1408,,,89.38,,,620,,,5607,166,-138,0.886,0.39,-0.112,0.8,0.135,-0.058
1958,9006449,K01413.03,Kepler-295 d,CONFIRMED,CANDIDATE,33.88489343,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,11026304,K01420.01,,CANDIDATE,CANDIDATE,13.35150733,1.61E-05,-1.61E-05,0,,,4.49,4.80E-01,-3.80E-01,0.1004,,,88.81,,,585,,,4843,187,-152,0.754,0.081,-0.064,0.755,0.088,-0.063
1966,11342550,K01421.01,,CANDIDATE,CANDIDATE,1693.663623,0.00E+00,0.00E+00,0,,,10.23,4.54E+00,-1.02E+00,2.8364,,,89.95,,,157,,,5923,161,-193,1.021,0.453,-0.102,1.059,0.202,-0.129
1967,11497958,K01422.01,Kepler-296 c,CONFIRMED,CANDIDATE,5.84164124,1.02E-05,-1.02E-05,0,,,1.52,2.40E-01,-2.50E-01,0.046,,,88.24,,,440,,,3517,70,-57,0.37,0.06,-0.06,0.38,0.06,-0.06
1968,11497958,K01422.02,Kepler-296 d,CONFIRMED,CANDIDATE,19.85028393,5.85E-05,-5.85E-05,0,,,1.65,2.60E-01,-2.70E-01,0.104,,,88.81,,,293,,,3517,70,-57,0.37,0.06,-0.06,0.38,0.06,-0.06
1969,11497958,K01422.03,Kepler-296 b,CONFIRMED,CANDIDATE,10.86443187,4.97E-05,-4.97E-05,0,,,35.38,5.73E+00,-5.74E+00,0.0696,,,79.64,,,358,,,3517,70,-57,0.37,0.06,-0.06,0.38,0.06,-0.06
1970,11497958,K01422.04,Kepler-296 f,CONFIRMED,CANDIDATE,63.3366606,5.57E-04,-5.57E-04,0,,,1.23,2.00E-01,-2.00E-01,0.2253,,,89.95,,,199,,,3517,70,-57,0.37,0.06,-0.06,0.38,0.06,-0.06
1971,11497958,K01422.05,Kepler-296 e,CONFIRMED,CANDIDATE,34.14189,2.64E-04,-2.64E-04,0,,,1.08,1.80E-01,-1.70E-01,0.1492,,,89.95,,,244,,,3517,70,-57,0.37,0.06,-0.06,0.38,0.06,-0.06
1972,11177707,K01423.01,,CANDIDATE,CANDIDATE,124.4198398,3.31E-04,-3.31E-04,0,,,4.67,1.19E+00,-3.30E-01,0.4494,,,89.95,,,304,,,5446,179,-147,0.72,0.184,-0.05,0.781,0.107,-0.072
1973,11611600,K01424.01,,CANDIDATE,CANDIDATE,1.21956827,1.10E-06,-1.10E-06,0,,,1.58,1.80E-01,-1.20E-01,0.0204,,,88.24,,,1264,,,4845,143,-132,0.714,0.081,-0.054,0.765,0.064,-0.074
1974,11254382,K01425.01,,CANDIDATE,CANDIDATE,2.053879821,2.90E-06,-2.90E-06,0,,,2.29,7.90E-01,-1.80E-01,0.0315,,,89.38,,,1379,,,5868,156,-171,0.894,0.31,-0.07,0.987,0.096,-0.117
